                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6383,                0.97757,                0.95622,                0.72147,                0.76789,                0.79098,                0.39444,                  1.823,                 1.4342,                0.99214,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.6345,                 1.0173,                0.96997,                0.78043,                0.72775,                0.80232,                0.39791,                  1.863,                 1.1787,                 1.0173,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.6435,                 1.0039,                0.95797,                 0.7495,                0.77487,                0.81228,                0.41471,                  1.809,                 1.1678,                 1.0171,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.6194,                 0.9545,                0.96061,                0.75748,                0.73997,                0.78692,                0.38667,                 1.8094,                 1.1238,                 1.0091,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.6312,                0.97988,                0.95701,                0.79534,                0.69983,                0.76875,                0.39527,                 1.7606,                 1.2892,                0.99467,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.6257,                0.97681,                0.95268,                0.76902,                  0.637,                0.72019,                0.30338,                 2.1469,                 1.2904,                 1.1225,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.6105,                0.96856,                0.95388,                0.81555,                0.77836,                0.83695,                0.42611,                 1.7487,                 1.0154,                 1.0066,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.6154,                0.98166,                 0.9541,                0.82583,                0.74869,                0.83617,                0.42807,                 1.7675,                 1.1269,                0.99424,               0.001604,               0.001604,               0.001604
                     43,                 1.6137,                0.95635,                0.95774,                0.82482,                0.75595,                0.83529,                0.44164,                 1.7283,                  1.152,                0.99883,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.5869,                0.94842,                0.94044,                0.85493,                0.75742,                 0.8439,                0.44216,                  1.714,                 1.2455,                 0.9843,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.6281,                0.94209,                0.94832,                0.85663,                0.75567,                0.86025,                0.45472,                 1.7658,                 1.1079,                0.99438,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.6265,                 0.9634,                0.95022,                0.83551,                0.76789,                0.83598,                0.41033,                 1.7865,                 1.3216,                0.99752,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.6038,                0.93922,                  0.945,                0.80302,                0.75417,                0.82271,                0.42455,                 1.7618,                 1.2083,                 1.0052,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.6134,                0.94105,                0.95087,                0.80504,                0.73822,                0.81204,                0.40891,                 1.8581,                 1.1291,                 1.0461,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.5927,                 0.9514,                0.94583,                0.80863,                0.77661,                0.84107,                0.41888,                 1.8031,                 1.1011,                 1.0016,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.5896,                0.95783,                0.94411,                0.82659,                0.76531,                0.84891,                0.42561,                 1.8001,                 1.2292,                0.99179,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.5917,                0.94256,                0.94494,                0.84706,                0.69284,                0.81725,                0.40983,                 1.7629,                 1.0629,                 1.0072,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.5958,                0.93054,                0.94824,                0.83629,                0.71321,                0.81868,                0.42414,                  1.819,                 1.1481,                  1.035,               0.001505,               0.001505,               0.001505
                     53,                 1.5631,                0.91087,                0.93212,                0.82071,                  0.727,                0.82622,                0.42535,                 1.6988,                  1.008,                0.98463,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.5581,                0.90711,                0.93136,                0.77909,                0.70681,                0.78476,                 0.4085,                 1.7564,                 1.4659,                0.98654,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.6124,                0.93342,                0.94545,                 0.8401,                0.76104,                0.83851,                0.41508,                 1.8088,                 1.1237,                 1.0127,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.5913,                0.91839,                0.95658,                0.84005,                0.71495,                0.80458,                0.42685,                 1.7675,                 1.1748,                 1.0047,              0.0014654,              0.0014654,              0.0014654
                     57,                  1.559,                0.89742,                0.94892,                0.80714,                0.79611,                0.84077,                0.42908,                 1.7808,                 1.0782,                 1.0062,              0.0014555,              0.0014555,              0.0014555
                     58,                 1.5393,                0.88788,                0.93303,                0.82601,                0.78708,                0.84928,                0.42886,                 1.8059,                 1.1027,                 1.0098,              0.0014456,              0.0014456,              0.0014456
                     59,                 1.5514,                0.89848,                0.94118,                0.86224,                0.76464,                 0.8515,                0.43777,                 1.7499,                 1.0877,                0.99685,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.5528,                 0.8744,                0.93598,                0.86513,                0.77247,                0.85597,                 0.4494,                   1.74,                 1.1978,                0.99725,              0.0014258,              0.0014258,              0.0014258
                     61,                 1.5494,                0.88579,                0.93259,                0.86618,                0.75684,                0.85633,                0.45605,                 1.6821,                 1.0536,                0.96929,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.5483,                 0.8891,                0.93941,                0.78151,                0.80454,                0.83822,                0.42821,                 1.7416,                 1.1279,                0.98486,               0.001406,               0.001406,               0.001406
                     63,                 1.5727,                0.87898,                0.93788,                  0.834,                0.75403,                0.83388,                0.42922,                 1.7676,                 1.0549,                 1.0011,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.5621,                0.87587,                0.93523,                 0.8087,                0.75393,                0.82474,                0.41799,                 1.7753,                 1.1592,                0.98528,              0.0013862,              0.0013862,              0.0013862
                     65,                  1.542,                0.87602,                0.93604,                0.87764,                0.74346,                0.85043,                 0.4449,                 1.7443,                 1.1467,                 1.0002,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.5221,                0.84163,                0.94355,                0.81765,                0.80105,                 0.8495,                0.45141,                 1.7459,                 1.0514,                 1.0045,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.5262,                0.85406,                0.92746,                0.86588,                0.76614,                0.86211,                0.45386,                 1.6742,                 1.0851,                0.97727,              0.0013565,              0.0013565,              0.0013565
