                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.2995,                0.64775,                0.88959,                0.86941,                0.79058,                0.86249,                0.46359,                 1.7475,                 1.4204,                0.98597,              0.0005249,              0.0005249,              0.0005249
                    152,                 1.2909,                0.65474,                0.89436,                0.84859,                0.81501,                0.86099,                0.46705,                 1.7448,                 1.4182,                0.99403,               0.000515,               0.000515,               0.000515
                    153,                  1.287,                0.64628,                0.88812,                0.86754,                0.80628,                0.86858,                0.46872,                  1.761,                 1.2671,                0.99369,              0.0005051,              0.0005051,              0.0005051
                    154,                 1.2796,                0.63824,                0.87639,                0.85823,                0.80295,                0.85515,                0.45779,                 1.7776,                 1.3158,                0.98665,              0.0004952,              0.0004952,              0.0004952
                    155,                 1.2986,                0.65489,                0.88571,                0.83862,                0.82527,                0.86479,                0.47198,                 1.7248,                 1.0722,                0.97977,              0.0004853,              0.0004853,              0.0004853
                    156,                 1.2991,                0.63982,                0.87944,                0.83456,                0.81152,                0.86207,                0.46391,                 1.7369,                 1.1744,                0.97667,              0.0004754,              0.0004754,              0.0004754
                    157,                 1.2878,                0.64229,                0.88941,                0.86524,                0.81675,                0.87384,                0.47441,                 1.7481,                 1.1489,                0.97634,              0.0004655,              0.0004655,              0.0004655
                    158,                 1.2885,                0.64699,                0.87464,                0.86311,                0.81427,                0.86741,                0.47484,                 1.7387,                  1.158,                0.98398,              0.0004556,              0.0004556,              0.0004556
                    159,                 1.2877,                0.63623,                0.88744,                0.85869,                0.82024,                0.86867,                0.47475,                  1.731,                 1.2552,                0.98006,              0.0004457,              0.0004457,              0.0004457
                    160,                  1.287,                0.63712,                0.88626,                 0.8741,                 0.7997,                0.86156,                0.46236,                 1.7299,                 1.2274,                0.98325,              0.0004358,              0.0004358,              0.0004358
                    161,                 1.2966,                  0.644,                0.89213,                0.86952,                0.81152,                0.86439,                0.47656,                 1.7713,                 1.2762,                 1.0139,              0.0004259,              0.0004259,              0.0004259
                    162,                 1.2817,                0.63585,                0.87762,                0.86308,                0.80279,                0.86781,                0.46572,                 1.7479,                 1.2457,                 0.9912,               0.000416,               0.000416,               0.000416
                    163,                 1.2625,                 0.6296,                0.87773,                0.85258,                0.80747,                0.86387,                0.46205,                 1.7689,                 1.2295,                0.98937,              0.0004061,              0.0004061,              0.0004061
                    164,                 1.2858,                0.64221,                0.88404,                 0.8667,                0.80566,                 0.8666,                0.46767,                 1.7539,                 1.1978,                0.98946,              0.0003962,              0.0003962,              0.0003962
                    165,                 1.2759,                0.62498,                0.88323,                 0.8833,                0.79407,                0.87298,                0.46989,                 1.7303,                 1.1456,                0.98615,              0.0003863,              0.0003863,              0.0003863
                    166,                 1.2774,                0.63828,                 0.8784,                0.85773,                0.82069,                0.87052,                0.46921,                  1.726,                 1.3244,                0.99217,              0.0003764,              0.0003764,              0.0003764
                    167,                  1.253,                 0.6219,                0.87468,                0.89627,                 0.7836,                0.87728,                0.47367,                 1.7411,                  1.078,                0.98506,              0.0003665,              0.0003665,              0.0003665
                    168,                 1.2463,                0.60637,                0.87486,                0.87045,                0.80454,                0.87176,                0.47981,                 1.7087,                 1.1111,                0.97997,              0.0003566,              0.0003566,              0.0003566
                    169,                 1.2477,                0.60846,                0.87942,                0.87955,                0.80289,                0.87063,                0.47281,                 1.7379,                 1.1679,                0.98358,              0.0003467,              0.0003467,              0.0003467
                    170,                 1.2286,                0.59545,                0.87758,                0.84682,                0.83938,                0.87219,                0.46546,                 1.7266,                 1.1542,                0.97804,              0.0003368,              0.0003368,              0.0003368
                    171,                 1.2578,                0.60309,                0.88084,                0.85871,                0.83072,                  0.868,                0.46475,                 1.7415,                 1.1487,                0.98227,              0.0003269,              0.0003269,              0.0003269
                    172,                 1.2332,                0.61238,                 0.8784,                0.88464,                0.78964,                 0.8671,                0.47546,                  1.741,                  1.076,                0.98898,               0.000317,               0.000317,               0.000317
                    173,                 1.2501,                0.61309,                0.87784,                0.88723,                0.79058,                0.87064,                0.48009,                 1.7224,                 1.0888,                0.98511,              0.0003071,              0.0003071,              0.0003071
                    174,                 1.2366,                  0.612,                 0.8726,                0.85991,                0.80342,                0.86199,                0.47167,                 1.6984,                 1.1955,                0.97498,              0.0002972,              0.0002972,              0.0002972
                    175,                 1.2519,                0.61567,                0.87637,                0.86473,                0.82199,                0.86971,                0.47172,                 1.7555,                 1.1791,                0.99962,              0.0002873,              0.0002873,              0.0002873
                    176,                 1.2342,                 0.6072,                0.87229,                0.86488,                0.80977,                0.86541,                0.46929,                 1.7585,                 1.1003,                 1.0006,              0.0002774,              0.0002774,              0.0002774
                    177,                 1.2141,                0.59429,                0.87467,                0.84728,                0.81326,                0.86514,                 0.4684,                 1.7305,                   1.13,                0.98885,              0.0002675,              0.0002675,              0.0002675
                    178,                 1.2135,                0.59654,                0.87096,                0.86645,                0.80388,                0.86336,                 0.4706,                 1.7249,                 1.0735,                0.98838,              0.0002576,              0.0002576,              0.0002576
                    179,                 1.2202,                0.60082,                0.86875,                0.85534,                0.82024,                0.86751,                0.46636,                  1.741,                   1.14,                0.99993,              0.0002477,              0.0002477,              0.0002477
                    180,                 1.2076,                0.58752,                0.87626,                0.88023,                0.78237,                0.86859,                0.46993,                 1.7568,                 1.1424,                0.99952,              0.0002378,              0.0002378,              0.0002378
                    181,                   1.22,                0.59498,                0.86772,                0.85195,                 0.8185,                0.86618,                0.47278,                  1.723,                 1.1383,                0.98352,              0.0002279,              0.0002279,              0.0002279
                    182,                 1.2283,                0.60531,                0.87928,                0.87975,                0.79407,                0.87297,                0.47149,                 1.7298,                 1.1747,                0.98304,               0.000218,               0.000218,               0.000218
                    183,                 1.2095,                0.58741,                0.87526,                0.88524,                0.79756,                0.86839,                0.47363,                 1.7417,                 1.1462,                0.98276,              0.0002081,              0.0002081,              0.0002081
